Ww,Cluster,Product,Period,Scenario,Demand
0,1,1,8,11,177335
0,1,1,8,12,201447
0,1,1,8,13,592485
0,1,1,8,14,499475
0,1,1,8,15,215564
0,1,1,8,16,410065
0,1,1,8,17,540733
0,1,1,8,18,387495
0,1,1,8,19,119285
0,1,1,8,20,150585
0,1,1,9,1,621281
0,1,1,9,2,350863
0,1,1,9,3,278512
0,1,1,9,4,492142
0,1,1,9,5,433491
0,1,1,9,6,577047
0,1,1,9,7,48298
0,1,1,9,8,119745
0,1,1,9,9,203030
0,1,1,9,10,248608
0,1,1,9,11,184202
0,1,1,9,12,233125
0,1,1,9,13,677853
0,1,1,9,14,579202
0,1,1,9,15,234078
0,1,1,9,16,496769
0,1,1,9,17,634802
0,1,1,9,18,448603
0,1,1,9,19,107754
0,1,1,9,20,142766
0,1,1,10,1,748461
0,1,1,10,2,365824
0,1,1,10,3,300721
0,1,1,10,4,629285
0,1,1,10,5,469077
0,1,1,10,6,658910
0,1,1,10,7,13001
0,1,1,10,8,98626
0,1,1,10,9,191096
0,1,1,10,10,244288
0,1,1,10,11,163226
0,1,1,10,12,258551
0,1,1,10,13,801130
0,1,1,10,14,676412
0,1,1,10,15,246435
0,1,1,10,16,536864
0,1,1,10,17,711944
0,1,1,10,18,501922
0,1,1,10,19,76744
0,1,1,10,20,128987
0,1,2,1,1,28219
0,1,2,1,2,27023
0,1,2,1,3,27460
0,1,2,1,4,27716
0,1,2,1,5,29663
0,1,2,1,6,29478
0,1,2,1,7,25605
0,1,2,1,8,24763
0,1,2,1,9,27195
0,1,2,1,10,26521
0,1,2,1,11,24613
0,1,2,1,12,26612
0,1,2,1,13,31496
0,1,2,1,14,30887
0,1,2,1,15,27340
0,1,2,1,16,29217
0,1,2,1,17,29553
0,1,2,1,18,28906
0,1,2,1,19,24364
0,1,2,1,20,25974
0,1,2,2,1,57906
0,1,2,2,2,49078
0,1,2,2,3,46153
0,1,2,2,4,51897
0,1,2,2,5,52689
0,1,2,2,6,55277
0,1,2,2,7,40230
0,1,2,2,8,42320
0,1,2,2,9,47717
0,1,2,2,10,47005
0,1,2,2,11,44707
0,1,2,2,12,44620
0,1,2,2,13,60810
0,1,2,2,14,58546
0,1,2,2,15,47853
0,1,2,2,16,52572
0,1,2,2,17,56970
0,1,2,2,18,53220
0,1,2,2,19,41036
0,1,2,2,20,42596
0,1,2,3,1,95775
0,1,2,3,2,79428
0,1,2,3,3,77774
0,1,2,3,4,91531
0,1,2,3,5,85873
0,1,2,3,6,101286
0,1,2,3,7,60052
0,1,2,3,8,59595
0,1,2,3,9,69180
0,1,2,3,10,75062
0,1,2,3,11,66563
0,1,2,3,12,74554
0,1,2,3,13,104406
0,1,2,3,14,95126
0,1,2,3,15,77141
0,1,2,3,16,88863
0,1,2,3,17,108390
0,1,2,3,18,85139
0,1,2,3,19,63260
0,1,2,3,20,68539
0,1,2,4,1,142871
0,1,2,4,2,100527
0,1,2,4,3,99615
0,1,2,4,4,126040
0,1,2,4,5,115641
0,1,2,4,6,142703
0,1,2,4,7,64964
0,1,2,4,8,78908
0,1,2,4,9,86853
0,1,2,4,10,93165
0,1,2,4,11,84007
0,1,2,4,12,84675
0,1,2,4,13,142859
0,1,2,4,14,128939
0,1,2,4,15,96343
0,1,2,4,16,122588
0,1,2,4,17,136571
0,1,2,4,18,117977
0,1,2,4,19,70856
0,1,2,4,20,77865
0,1,2,5,1,177546
0,1,2,5,2,129163
0,1,2,5,3,113455
0,1,2,5,4,165470
0,1,2,5,5,144696
0,1,2,5,6,164961
0,1,2,5,7,71429
0,1,2,5,8,84528
0,1,2,5,9,99740
0,1,2,5,10,101114
0,1,2,5,11,90134
0,1,2,5,12,105546
0,1,2,5,13,210599
0,1,2,5,14,186438
0,1,2,5,15,106007
0,1,2,5,16,156293
0,1,2,5,17,189068
0,1,2,5,18,151023
0,1,2,5,19,75791
0,1,2,5,20,85485
0,1,2,6,1,238824
0,1,2,6,2,163731
0,1,2,6,3,143736
0,1,2,6,4,210596
0,1,2,6,5,191623
0,1,2,6,6,220462
0,1,2,6,7,69683
0,1,2,6,8,86983
0,1,2,6,9,114109
0,1,2,6,10,131193
0,1,2,6,11,107267
0,1,2,6,12,131358
0,1,2,6,13,262526
0,1,2,6,14,232191
0,1,2,6,15,133421
0,1,2,6,16,190296
0,1,2,6,17,248405
0,1,2,6,18,190456
0,1,2,6,19,81918
0,1,2,6,20,103249
0,1,2,7,1,279221
0,1,2,7,2,180162
0,1,2,7,3,145733
0,1,2,7,4,234164
0,1,2,7,5,206698
0,1,2,7,6,248030
0,1,2,7,7,58624
0,1,2,7,8,87739
0,1,2,7,9,117788
0,1,2,7,10,127112
0,1,2,7,11,104193
0,1,2,7,12,125601
0,1,2,7,13,310107
0,1,2,7,14,283872
0,1,2,7,15,126088
0,1,2,7,16,227551
0,1,2,7,17,284289
0,1,2,7,18,226644
0,1,2,7,19,74491
0,1,2,7,20,98319
0,1,2,8,1,354093
0,1,2,8,2,204359
0,1,2,8,3,184566
0,1,2,8,4,284831
0,1,2,8,5,264023
0,1,2,8,6,316490
0,1,2,8,7,46311
0,1,2,8,8,87671
0,1,2,8,9,128295
0,1,2,8,10,143404
0,1,2,8,11,118999
0,1,2,8,12,143087
0,1,2,8,13,378882
0,1,2,8,14,316165
0,1,2,8,15,144904
0,1,2,8,16,280198
0,1,2,8,17,357060
0,1,2,8,18,252435
0,1,2,8,19,77524
0,1,2,8,20,99759
0,1,2,9,1,368789
0,1,2,9,2,242902
0,1,2,9,3,184141
0,1,2,9,4,335907
0,1,2,9,5,283714
0,1,2,9,6,355711
0,1,2,9,7,29687
0,1,2,9,8,71426
0,1,2,9,9,125286
0,1,2,9,10,162023
0,1,2,9,11,107288
0,1,2,9,12,144290
0,1,2,9,13,417104
0,1,2,9,14,379837
0,1,2,9,15,158247
0,1,2,9,16,316053
0,1,2,9,17,421445
0,1,2,9,18,293904
0,1,2,9,19,62419
0,1,2,9,20,94505
0,1,2,10,1,457352
0,1,2,10,2,239859
0,1,2,10,3,203169
0,1,2,10,4,394343
0,1,2,10,5,306085
0,1,2,10,6,436637
0,1,2,10,7,9058
0,1,2,10,8,68666
0,1,2,10,9,130000
0,1,2,10,10,173563
0,1,2,10,11,106006
0,1,2,10,12,147001
0,1,2,10,13,559933
0,1,2,10,14,473277
0,1,2,10,15,147563
0,1,2,10,16,335321
0,1,2,10,17,475677
0,1,2,10,18,334536
0,1,2,10,19,48504
0,1,2,10,20,85200
0,1,3,1,1,223127
0,1,3,1,2,212172
0,1,3,1,3,196198
0,1,3,1,4,215949
0,1,3,1,5,228014
0,1,3,1,6,226288
0,1,3,1,7,187469
0,1,3,1,8,178588
0,1,3,1,9,195862
0,1,3,1,10,211985
0,1,3,1,11,197896
0,1,3,1,12,188325
0,1,3,1,13,219394
0,1,3,1,14,205865
0,1,3,1,15,195164
0,1,3,1,16,220968
0,1,3,1,17,224029
0,1,3,1,18,210685
0,1,3,1,19,182583
0,1,3,1,20,181055
0,1,3,2,1,437048
0,1,3,2,2,358085
0,1,3,2,3,387613
0,1,3,2,4,403864
0,1,3,2,5,402731
0,1,3,2,6,422888
0,1,3,2,7,289826
0,1,3,2,8,320496
0,1,3,2,9,338465
0,1,3,2,10,351723
0,1,3,2,11,308850
0,1,3,2,12,370815
0,1,3,2,13,447049
0,1,3,2,14,426753
0,1,3,2,15,370966
0,1,3,2,16,404730
0,1,3,2,17,446868
0,1,3,2,18,401733
0,1,3,2,19,318612
0,1,3,2,20,332528
0,1,3,3,1,696996
0,1,3,3,2,548561
0,1,3,3,3,525808
0,1,3,3,4,662150
0,1,3,3,5,596088
0,1,3,3,6,633881
0,1,3,3,7,421047
0,1,3,3,8,470548
0,1,3,3,9,485472
0,1,3,3,10,523283
0,1,3,3,11,485459
0,1,3,3,12,482297
0,1,3,3,13,730901
0,1,3,3,14,664415
0,1,3,3,15,503706
0,1,3,3,16,631964
0,1,3,3,17,743605
0,1,3,3,18,595344
0,1,3,3,19,438683
0,1,3,3,20,461087
0,1,3,4,1,1025446
0,1,3,4,2,726611
0,1,3,4,3,717169
0,1,3,4,4,938209
0,1,3,4,5,905526
0,1,3,4,6,1071072
0,1,3,4,7,468647
0,1,3,4,8,544391
0,1,3,4,9,623355
0,1,3,4,10,711915
0,1,3,4,11,573418
0,1,3,4,12,661872
0,1,3,4,13,1073374
0,1,3,4,14,941132
0,1,3,4,15,635905
0,1,3,4,16,880343
0,1,3,4,17,1032262
0,1,3,4,18,853359
0,1,3,4,19,529949
0,1,3,4,20,589276
0,1,3,5,1,1448525
0,1,3,5,2,997268
0,1,3,5,3,861288
0,1,3,5,4,1315721
0,1,3,5,5,1126344
0,1,3,5,6,1321786
0,1,3,5,7,540958
0,1,3,5,8,628620
0,1,3,5,9,730844
0,1,3,5,10,865344
0,1,3,5,11,705321
0,1,3,5,12,820136
0,1,3,5,13,1524431
0,1,3,5,14,1231143
0,1,3,5,15,826263
0,1,3,5,16,1153559
0,1,3,5,17,1372044
0,1,3,5,18,1111846
0,1,3,5,19,632608
0,1,3,5,20,632605
0,1,3,6,1,1780320
0,1,3,6,2,1174042
0,1,3,6,3,996601
0,1,3,6,4,1428789
0,1,3,6,5,1224767
0,1,3,6,6,1559524
0,1,3,6,7,509254
0,1,3,6,8,619256
0,1,3,6,9,840719
0,1,3,6,10,963501
0,1,3,6,11,807462
0,1,3,6,12,895076
0,1,3,6,13,1734950
0,1,3,6,14,1658293
0,1,3,6,15,934658
0,1,3,6,16,1402535
0,1,3,6,17,1685609
0,1,3,6,18,1358958
0,1,3,6,19,632485
0,1,3,6,20,700777
0,1,3,7,1,2157785
0,1,3,7,2,1331161
0,1,3,7,3,1143705
0,1,3,7,4,1878933
0,1,3,7,5,1658549
0,1,3,7,6,1976311
0,1,3,7,7,478341
0,1,3,7,8,648380
0,1,3,7,9,890352
0,1,3,7,10,960140
0,1,3,7,11,839414
0,1,3,7,12,1075745
0,1,3,7,13,2226437
0,1,3,7,14,2127011
0,1,3,7,15,1033474
0,1,3,7,16,1678334
0,1,3,7,17,2284279
0,1,3,7,18,1536489
0,1,3,7,19,597705
0,1,3,7,20,775764
0,1,3,8,1,2560587
0,1,3,8,2,1419910
0,1,3,8,3,1280566
0,1,3,8,4,2071268
0,1,3,8,5,1813865
0,1,3,8,6,2206100
0,1,3,8,7,361976
0,1,3,8,8,629316
0,1,3,8,9,891265
0,1,3,8,10,1096011
0,1,3,8,11,810605
0,1,3,8,12,1018315
0,1,3,8,13,2794403
0,1,3,8,14,2349474
0,1,3,8,15,1047962
0,1,3,8,16,1924283
0,1,3,8,17,2444479
0,1,3,8,18,1887368
0,1,3,8,19,561148
0,1,3,8,20,664942
0,1,3,9,1,3040634
0,1,3,9,2,1778975
0,1,3,9,3,1403335
0,1,3,9,4,2322090
0,1,3,9,5,2091025
0,1,3,9,6,2642483
0,1,3,9,7,225998
0,1,3,9,8,550294
0,1,3,9,9,990363
0,1,3,9,10,1147838
0,1,3,9,11,830084
0,1,3,9,12,1142231
0,1,3,9,13,3016313
0,1,3,9,14,2627286
0,1,3,9,15,1137800
0,1,3,9,16,2286369
0,1,3,9,17,3112797
0,1,3,9,18,2102642
0,1,3,9,19,479607
0,1,3,9,20,650407
0,1,3,10,1,3287756
0,1,3,10,2,2000006
0,1,3,10,3,1504132
0,1,3,10,4,2709296
0,1,3,10,5,2431146
0,1,3,10,6,3012032
0,1,3,10,7,64585
0,1,3,10,8,480231
0,1,3,10,9,953467
0,1,3,10,10,1112142
0,1,3,10,11,805958
0,1,3,10,12,1132924
0,1,3,10,13,3720759
0,1,3,10,14,3173753
0,1,3,10,15,1129539
0,1,3,10,16,2497923
0,1,3,10,17,3667435
0,1,3,10,18,2390169
0,1,3,10,19,360009
0,1,3,10,20,622604
0,1,4,1,1,32557
0,1,4,1,2,30014
0,1,4,1,3,27690
0,1,4,1,4,29962
0,1,4,1,5,30982
0,1,4,1,6,29311
0,1,4,1,7,27236
0,1,4,1,8,24885
0,1,4,1,9,28629
0,1,4,1,10,29849
0,1,4,1,11,28100
0,1,4,1,12,26390
0,1,4,1,13,34359
0,1,4,1,14,30581
0,1,4,1,15,28690
0,1,4,1,16,31215
0,1,4,1,17,30540
0,1,4,1,18,30601
0,1,4,1,19,26344
0,1,4,1,20,29226
0,1,4,2,1,65320
0,1,4,2,2,56232
0,1,4,2,3,53525
0,1,4,2,4,64135
0,1,4,2,5,61642
0,1,4,2,6,67431
0,1,4,2,7,47267
0,1,4,2,8,47477
0,1,4,2,9,55113
0,1,4,2,10,53184
0,1,4,2,11,51880
0,1,4,2,12,52146
0,1,4,2,13,71427
0,1,4,2,14,63632
0,1,4,2,15,51467
0,1,4,2,16,59012
0,1,4,2,17,70461
0,1,4,2,18,65204
0,1,4,2,19,46865
0,1,4,2,20,53610
0,1,4,3,1,105422
0,1,4,3,2,85304
0,1,4,3,3,82012
0,1,4,3,4,95213
0,1,4,3,5,91719
0,1,4,3,6,100808
0,1,4,3,7,64688
0,1,4,3,8,67964
0,1,4,3,9,72660
0,1,4,3,10,82414
0,1,4,3,11,72222
0,1,4,3,12,74863
0,1,4,3,13,117070
0,1,4,3,14,108082
0,1,4,3,15,77306
0,1,4,3,16,91393
0,1,4,3,17,106489
0,1,4,3,18,93277
0,1,4,3,19,66636
0,1,4,3,20,69965
0,1,4,4,1,148478
0,1,4,4,2,110875
0,1,4,4,3,116090
0,1,4,4,4,135048
0,1,4,4,5,122575
0,1,4,4,6,143391
0,1,4,4,7,71467
0,1,4,4,8,85939
0,1,4,4,9,89812
0,1,4,4,10,98390
0,1,4,4,11,93451
0,1,4,4,12,102237
0,1,4,4,13,167405
0,1,4,4,14,156417
0,1,4,4,15,97498
0,1,4,4,16,137104
0,1,4,4,17,154935
0,1,4,4,18,129688
0,1,4,4,19,80311
0,1,4,4,20,84395
0,1,4,5,1,190579
0,1,4,5,2,142683
0,1,4,5,3,123093
0,1,4,5,4,162292
0,1,4,5,5,153689
0,1,4,5,6,191219
0,1,4,5,7,70267
0,1,4,5,8,93216
0,1,4,5,9,111224
0,1,4,5,10,117526
0,1,4,5,11,100056
0,1,4,5,12,119180
0,1,4,5,13,195078
0,1,4,5,14,194910
0,1,4,5,15,112525
0,1,4,5,16,164269
0,1,4,5,17,197271
0,1,4,5,18,153600
0,1,4,5,19,87548
0,1,4,5,20,84257
0,1,4,6,1,243391
0,1,4,6,2,166090
0,1,4,6,3,145172
0,1,4,6,4,203656
0,1,4,6,5,198389
0,1,4,6,6,248099
0,1,4,6,7,73256
0,1,4,6,8,89478
0,1,4,6,9,118138
0,1,4,6,10,129527
0,1,4,6,11,111819
0,1,4,6,12,136337
0,1,4,6,13,254868
0,1,4,6,14,235885
0,1,4,6,15,135524
0,1,4,6,16,204926
0,1,4,6,17,266478
0,1,4,6,18,202686
0,1,4,6,19,91406
0,1,4,6,20,97161
0,1,4,7,1,317786
0,1,4,7,2,189000
0,1,4,7,3,163581
0,1,4,7,4,272428
0,1,4,7,5,215359
0,1,4,7,6,286695
0,1,4,7,7,64430
0,1,4,7,8,93279
0,1,4,7,9,127365
0,1,4,7,10,147934
0,1,4,7,11,121985
0,1,4,7,12,140573
0,1,4,7,13,342226
0,1,4,7,14,294347
0,1,4,7,15,148990
0,1,4,7,16,255568
0,1,4,7,17,326484
0,1,4,7,18,225416
0,1,4,7,19,81060
0,1,4,7,20,105990
0,1,4,8,1,350560
0,1,4,8,2,206327
0,1,4,8,3,188230
0,1,4,8,4,307364
0,1,4,8,5,258890
0,1,4,8,6,332865
0,1,4,8,7,51837
0,1,4,8,8,91975
0,1,4,8,9,127509
0,1,4,8,10,158325
0,1,4,8,11,117589
0,1,4,8,12,145511
0,1,4,8,13,396988
0,1,4,8,14,354529
0,1,4,8,15,159338
0,1,4,8,16,292302
0,1,4,8,17,370181
0,1,4,8,18,272135
0,1,4,8,19,80864
0,1,4,8,20,97680
0,1,4,9,1,451246
0,1,4,9,2,262955
0,1,4,9,3,194057
0,1,4,9,4,337503
0,1,4,9,5,311381
0,1,4,9,6,383284
0,1,4,9,7,34910
0,1,4,9,8,82590
0,1,4,9,9,136873
0,1,4,9,10,164965
0,1,4,9,11,118029
0,1,4,9,12,171638
0,1,4,9,13,446508
0,1,4,9,14,406498
0,1,4,9,15,159853
0,1,4,9,16,348389
0,1,4,9,17,429181
0,1,4,9,18,291491
0,1,4,9,19,67726
0,1,4,9,20,99715
0,1,4,10,1,491213
0,1,4,10,2,263840
0,1,4,10,3,222695
0,1,4,10,4,390821
0,1,4,10,5,330706
0,1,4,10,6,454263
0,1,4,10,7,8898
0,1,4,10,8,70638
0,1,4,10,9,129985
0,1,4,10,10,180732
0,1,4,10,11,113956
0,1,4,10,12,172176
0,1,4,10,13,528523
0,1,4,10,14,474848
0,1,4,10,15,175975
0,1,4,10,16,363851
0,1,4,10,17,494695
0,1,4,10,18,327741
0,1,4,10,19,48170
0,1,4,10,20,87485
1,2,1,1,1,4037
1,2,1,1,2,3656
1,2,1,1,3,3740
1,2,1,1,4,3856
1,2,1,1,5,3741
1,2,1,1,6,3593
1,2,1,1,7,3333
1,2,1,1,8,3449
1,2,1,1,9,3524
1,2,1,1,10,3858
1,2,1,1,11,3359
1,2,1,1,12,3582
1,2,1,1,13,4150
1,2,1,1,14,3915
1,2,1,1,15,3747
1,2,1,1,16,3852
1,2,1,1,17,3603
1,2,1,1,18,3506
1,2,1,1,19,3397
1,2,1,1,20,3583
1,2,1,2,1,7702
1,2,1,2,2,6344
1,2,1,2,3,6181
1,2,1,2,4,7415
1,2,1,2,5,6612
1,2,1,2,6,7718
1,2,1,2,7,4830
1,2,1,2,8,5825
1,2,1,2,9,5807
1,2,1,2,10,6627
1,2,1,2,11,6034
1,2,1,2,12,5562
1,2,1,2,13,8450
1,2,1,2,14,7792
1,2,1,2,15,6037
1,2,1,2,16,6688
1,2,1,2,17,7872
1,2,1,2,18,6586
1,2,1,2,19,5016
1,2,1,2,20,5888
1,2,1,3,1,14320
1,2,1,3,2,11828
1,2,1,3,3,9858
1,2,1,3,4,12258
1,2,1,3,5,10950
1,2,1,3,6,12731
1,2,1,3,7,8118
1,2,1,3,8,8534
1,2,1,3,9,9400
1,2,1,3,10,9375
1,2,1,3,11,8873
1,2,1,3,12,9076
1,2,1,3,13,14993
1,2,1,3,14,14957
1,2,1,3,15,10728
1,2,1,3,16,12624
1,2,1,3,17,14125
1,2,1,3,18,11406
1,2,1,3,19,8086
1,2,1,3,20,8801
1,2,1,4,1,17594
1,2,1,4,2,13180
1,2,1,4,3,11467
1,2,1,4,4,14923
1,2,1,4,5,13804
1,2,1,4,6,16092
1,2,1,4,7,8677
1,2,1,4,8,9044
1,2,1,4,9,10698
1,2,1,4,10,11433
1,2,1,4,11,10323
1,2,1,4,12,11084
1,2,1,4,13,19459
1,2,1,4,14,17952
1,2,1,4,15,11975
1,2,1,4,16,15866
1,2,1,4,17,16928
1,2,1,4,18,13866
1,2,1,4,19,8763
1,2,1,4,20,10145
1,2,1,5,1,24436
1,2,1,5,2,18152
1,2,1,5,3,16660
1,2,1,5,4,22249
1,2,1,5,5,21564
1,2,1,5,6,22148
1,2,1,5,7,10017
1,2,1,5,8,11867
1,2,1,5,9,14226
1,2,1,5,10,15403
1,2,1,5,11,12785
1,2,1,5,12,14193
1,2,1,5,13,27182
1,2,1,5,14,23013
1,2,1,5,15,14175
1,2,1,5,16,22906
1,2,1,5,17,25191
1,2,1,5,18,22559
1,2,1,5,19,10434
1,2,1,5,20,12476
1,2,1,6,1,33403
1,2,1,6,2,21650
1,2,1,6,3,18408
1,2,1,6,4,26925
1,2,1,6,5,26401
1,2,1,6,6,29689
1,2,1,6,7,9295
1,2,1,6,8,12194
1,2,1,6,9,16185
1,2,1,6,10,15487
1,2,1,6,11,14116
1,2,1,6,12,17542
1,2,1,6,13,34810
1,2,1,6,14,29832
1,2,1,6,15,16957
1,2,1,6,16,24698
1,2,1,6,17,31253
1,2,1,6,18,25306
1,2,1,6,19,11043
1,2,1,6,20,12852
1,2,1,7,1,39506
1,2,1,7,2,25769
1,2,1,7,3,21385
1,2,1,7,4,35951
1,2,1,7,5,27437
1,2,1,7,6,36252
1,2,1,7,7,7510
1,2,1,7,8,12429
1,2,1,7,9,16872
1,2,1,7,10,18240
1,2,1,7,11,14606
1,2,1,7,12,16631
1,2,1,7,13,43830
1,2,1,7,14,38476
1,2,1,7,15,18643
1,2,1,7,16,31595
1,2,1,7,17,39139
1,2,1,7,18,29991
1,2,1,7,19,10976
1,2,1,7,20,12499
1,2,1,8,1,46932
1,2,1,8,2,25191
1,2,1,8,3,24600
1,2,1,8,4,37222
1,2,1,8,5,31933
1,2,1,8,6,40891
1,2,1,8,7,6753
1,2,1,8,8,12394
1,2,1,8,9,15867
1,2,1,8,10,20297
1,2,1,8,11,15241
1,2,1,8,12,17745
1,2,1,8,13,53650
1,2,1,8,14,46593
1,2,1,8,15,21347
1,2,1,8,16,35034
1,2,1,8,17,47312
1,2,1,8,18,32600
1,2,1,8,19,9550
1,2,1,8,20,12437
1,2,1,9,1,57201
1,2,1,9,2,30985
1,2,1,9,3,27091
1,2,1,9,4,43730
1,2,1,9,5,40968
1,2,1,9,6,54565
1,2,1,9,7,4235
1,2,1,9,8,10259
1,2,1,9,9,16893
1,2,1,9,10,22776
1,2,1,9,11,15845
1,2,1,9,12,19770
1,2,1,9,13,66856
1,2,1,9,14,51509
1,2,1,9,15,20069
1,2,1,9,16,42039
1,2,1,9,17,57046
1,2,1,9,18,39767
1,2,1,9,19,8905
1,2,1,9,20,13043
1,2,1,10,1,66687
1,2,1,10,2,32684
1,2,1,10,3,27204
1,2,1,10,4,47474
1,2,1,10,5,44478
1,2,1,10,6,52695
1,2,1,10,7,1275
1,2,1,10,8,8096
1,2,1,10,9,16737
1,2,1,10,10,23103
1,2,1,10,11,14513
1,2,1,10,12,21250
1,2,1,10,13,65972
1,2,1,10,14,60295
1,2,1,10,15,23401
1,2,1,10,16,52433
1,2,1,10,17,58827
1,2,1,10,18,45834
1,2,1,10,19,6157
1,2,1,10,20,10800
1,2,2,1,1,2736
1,2,2,1,2,2979
1,2,2,1,3,3027
1,2,2,1,4,2973
1,2,2,1,5,2785
1,2,2,1,6,2683
1,2,2,1,7,2750
1,2,2,1,8,2609
1,2,2,1,9,2793
1,2,2,1,10,2698
1,2,2,1,11,2719
1,2,2,1,12,2496
1,2,2,1,13,2978
1,2,2,1,14,2664
1,2,2,1,15,2813
1,2,2,1,16,3006
1,2,2,1,17,3227
1,2,2,1,18,2714
1,2,2,1,19,2742
1,2,2,1,20,2688
1,2,2,2,1,6479
1,2,2,2,2,5505
1,2,2,2,3,4662
1,2,2,2,4,6479
1,2,2,2,5,5533
1,2,2,2,6,5793
1,2,2,2,7,4264
1,2,2,2,8,4525
1,2,2,2,9,5403
1,2,2,2,10,5055
1,2,2,2,11,4594
1,2,2,2,12,5215
1,2,2,2,13,6677
1,2,2,2,14,5877
1,2,2,2,15,5355
1,2,2,2,16,5537
1,2,2,2,17,6139
1,2,2,2,18,6359
1,2,2,2,19,4443
1,2,2,2,20,4691
1,2,2,3,1,10985
1,2,2,3,2,8622
1,2,2,3,3,7872
1,2,2,3,4,10718
1,2,2,3,5,8234
1,2,2,3,6,10694
1,2,2,3,7,6369
1,2,2,3,8,6896
1,2,2,3,9,7852
1,2,2,3,10,7396
1,2,2,3,11,7206
1,2,2,3,12,8015
1,2,2,3,13,10813
1,2,2,3,14,9558
1,2,2,3,15,7608
1,2,2,3,16,10400
1,2,2,3,17,11499
1,2,2,3,18,9683
1,2,2,3,19,6584
1,2,2,3,20,6959
1,2,2,4,1,13353
1,2,2,4,2,10800
1,2,2,4,3,10531
1,2,2,4,4,13046
1,2,2,4,5,12550
1,2,2,4,6,12697
1,2,2,4,7,6921
