Ww,Cluster,Product,Period,Demand
3,4,3,7,10165
3,4,3,8,11386
3,4,3,9,13213
3,4,3,10,14520
3,4,4,1,171
3,4,4,2,325
3,4,4,3,424
3,4,4,4,653
3,4,4,5,793
3,4,4,6,901
3,4,4,7,1096
3,4,4,8,1228
3,4,4,9,1371
3,4,4,10,1540
4,5,1,1,23754
4,5,1,2,49817
4,5,1,3,74081
4,5,1,4,95033
4,5,1,5,127304
4,5,1,6,145840
4,5,1,7,166417
4,5,1,8,193804
4,5,1,9,220038
4,5,1,10,244282
4,5,2,1,19775
4,5,2,2,39040
4,5,2,3,58447
4,5,2,4,79423
4,5,2,5,96145
4,5,2,6,114294
4,5,2,7,136200
4,5,2,8,154017
4,5,2,9,177976
4,5,2,10,195730
4,5,3,1,155314
4,5,3,2,300104
4,5,3,3,451301
4,5,3,4,589183
4,5,3,5,724197
4,5,3,6,868521
4,5,3,7,1041930
4,5,3,8,1170754
4,5,3,9,1349975
4,5,3,10,1489518
4,5,4,1,24370
4,5,4,2,46392
4,5,4,3,79333
4,5,4,4,100236
4,5,4,5,120128
4,5,4,6,150984
4,5,4,7,169640
4,5,4,8,199578
4,5,4,9,223368
4,5,4,10,248224
5,6,1,1,740
5,6,1,2,1389
5,6,1,3,2277
5,6,1,4,3110
5,6,1,5,3547
5,6,1,6,4343
5,6,1,7,5158
5,6,1,8,6005
5,6,1,9,6905
5,6,1,10,7631
5,6,2,1,523
5,6,2,2,1041
5,6,2,3,1520
5,6,2,4,2219
5,6,2,5,3089
5,6,2,6,3448
5,6,2,7,3983
5,6,2,8,4879
5,6,2,9,5283
5,6,2,10,5870
5,6,3,1,3262
5,6,3,2,6281
5,6,3,3,11010
5,6,3,4,14271
5,6,3,5,17407
5,6,3,6,19638
5,6,3,7,23814
5,6,3,8,27657
5,6,3,9,32304
5,6,3,10,35015
5,6,4,1,606
5,6,4,2,957
5,6,4,3,1561
5,6,4,4,2445
5,6,4,5,2976
5,6,4,6,3385
5,6,4,7,3712
5,6,4,8,4431
5,6,4,9,4897
5,6,4,10,5590
6,7,1,1,12870
6,7,1,2,24102
6,7,1,3,37585
6,7,1,4,48910
6,7,1,5,63192
6,7,1,6,76130
6,7,1,7,86618
6,7,1,8,97803
6,7,1,9,110112
6,7,1,10,122530
6,7,2,1,8754
6,7,2,2,16090
6,7,2,3,25808
6,7,2,4,36323
6,7,2,5,43020
6,7,2,6,51935
6,7,2,7,61941
6,7,2,8,68374
6,7,2,9,75445
6,7,2,10,85911
6,7,3,1,62230
6,7,3,2,122797
6,7,3,3,181316
6,7,3,4,251674
6,7,3,5,312090
6,7,3,6,380298
6,7,3,7,453185
6,7,3,8,497889
6,7,3,9,569442
6,7,3,10,630689
6,7,4,1,10177
6,7,4,2,18059
6,7,4,3,29680
6,7,4,4,39724
6,7,4,5,45409
6,7,4,6,57405
6,7,4,7,64517
6,7,4,8,75752
6,7,4,9,83537
6,7,4,10,94884
7,8,1,1,1854
7,8,1,2,3873
7,8,1,3,6271
7,8,1,4,8487
7,8,1,5,10441
7,8,1,6,12525
7,8,1,7,13858
7,8,1,8,15062
7,8,1,9,17939
7,8,1,10,19774
7,8,2,1,771
7,8,2,2,1905
7,8,2,3,2375
7,8,2,4,3595
7,8,2,5,4131
7,8,2,6,4928
7,8,2,7,6036
7,8,2,8,6539
7,8,2,9,7531
7,8,2,10,8377
7,8,3,1,11374
7,8,3,2,25879
7,8,3,3,39428
7,8,3,4,48798
7,8,3,5,66120
7,8,3,6,78477
7,8,3,7,97366
7,8,3,8,112243
7,8,3,9,120980
7,8,3,10,136300
7,8,4,1,1097
7,8,4,2,1746
7,8,4,3,3176
7,8,4,4,4300
7,8,4,5,4806
7,8,4,6,6168
7,8,4,7,7031
7,8,4,8,7809
7,8,4,9,9020
7,8,4,10,9868
8,9,1,1,21805
8,9,1,2,46881
8,9,1,3,63401
8,9,1,4,87693
8,9,1,5,107744
8,9,1,6,131947
8,9,1,7,147849
8,9,1,8,174011
8,9,1,9,196144
8,9,1,10,215271
8,9,2,1,19569
8,9,2,2,36845
8,9,2,3,55980
8,9,2,4,77542
8,9,2,5,93308
8,9,2,6,116439
8,9,2,7,137603
8,9,2,8,152198
8,9,2,9,177014
8,9,2,10,194081
8,9,3,1,114872
8,9,3,2,220188
8,9,3,3,359838
8,9,3,4,463229
8,9,3,5,562768
8,9,3,6,704569
8,9,3,7,810994
8,9,3,8,942135
8,9,3,9,1034129
8,9,3,10,1159834
8,9,4,1,28849
8,9,4,2,56952
8,9,4,3,82958
8,9,4,4,110648
8,9,4,5,133816
8,9,4,6,167157
8,9,4,7,197399
8,9,4,8,226811
8,9,4,9,250374
8,9,4,10,280492
9,10,1,1,375
9,10,1,2,731
9,10,1,3,1141
9,10,1,4,1498
9,10,1,5,1926
9,10,1,6,2233
9,10,1,7,2552
9,10,1,8,2996
9,10,1,9,3292
9,10,1,10,3673
9,10,2,1,260
9,10,2,2,494
9,10,2,3,711
9,10,2,4,914
9,10,2,5,1246
9,10,2,6,1489
9,10,2,7,1704
9,10,2,8,1952
9,10,2,9,2188
9,10,2,10,2411
9,10,3,1,2042
9,10,3,2,4112
9,10,3,3,6841
9,10,3,4,8774
9,10,3,5,10426
9,10,3,6,12613
9,10,3,7,15122
9,10,3,8,17253
9,10,3,9,19083
9,10,3,10,21488
9,10,4,1,309
9,10,4,2,621
9,10,4,3,815
9,10,4,4,1118
9,10,4,5,1356
9,10,4,6,1780
9,10,4,7,1909
9,10,4,8,2288
9,10,4,9,2530
9,10,4,10,2822
10,11,1,1,26135
10,11,1,2,50730
10,11,1,3,82804
10,11,1,4,101057
10,11,1,5,127290
10,11,1,6,154955
10,11,1,7,180677
10,11,1,8,208594
10,11,1,9,232136
10,11,1,10,260395
10,11,2,1,18042
10,11,2,2,35868
10,11,2,3,53892
10,11,2,4,73709
10,11,2,5,87393
10,11,2,6,106547
10,11,2,7,123039
10,11,2,8,143747
10,11,2,9,159923
10,11,2,10,178354
10,11,3,1,133028
10,11,3,2,266668
10,11,3,3,413479
10,11,3,4,579648
10,11,3,5,689639
10,11,3,6,829081
10,11,3,7,983847
10,11,3,8,1105850
10,11,3,9,1254106
10,11,3,10,1386376
10,11,4,1,22060
10,11,4,2,42512
10,11,4,3,62799
10,11,4,4,88480
10,11,4,5,104223
10,11,4,6,125548
10,11,4,7,149101
10,11,4,8,166442
10,11,4,9,189478
10,11,4,10,209449
11,12,1,1,1894
11,12,1,2,4767
11,12,1,3,6121
11,12,1,4,8473
11,12,1,5,10124
11,12,1,6,12796
11,12,1,7,14770
11,12,1,8,17696
11,12,1,9,19149
11,12,1,10,21665
11,12,2,1,1433
11,12,2,2,3113
11,12,2,3,4474
11,12,2,4,6593
11,12,2,5,8540
11,12,2,6,9496
11,12,2,7,11346
11,12,2,8,12780
11,12,2,9,14295
11,12,2,10,16221
11,12,3,1,11932
11,12,3,2,19603
11,12,3,3,35334
11,12,3,4,44655
11,12,3,5,60489
11,12,3,6,68684
11,12,3,7,76190
11,12,3,8,92771
11,12,3,9,98969
11,12,3,10,110144
11,12,4,1,880
11,12,4,2,1663
11,12,4,3,2520
11,12,4,4,3065
11,12,4,5,4200
11,12,4,6,5308
11,12,4,7,5861
11,12,4,8,6669
11,12,4,9,7442
11,12,4,10,8336
12,13,1,1,196
12,13,1,2,378
12,13,1,3,480
12,13,1,4,732
12,13,1,5,812
12,13,1,6,1042
12,13,1,7,1278
12,13,1,8,1332
12,13,1,9,1536
12,13,1,10,1738
12,13,2,1,106
12,13,2,2,180
12,13,2,3,280
12,13,2,4,372
12,13,2,5,481
12,13,2,6,596
12,13,2,7,675
12,13,2,8,780
12,13,2,9,850
12,13,2,10,964
12,13,3,1,576
12,13,3,2,1161
12,13,3,3,1956
12,13,3,4,2574
12,13,3,5,3637
12,13,3,6,3784
12,13,3,7,4939
12,13,3,8,5324
12,13,3,9,6208
12,13,3,10,6737
12,13,4,1,47
12,13,4,2,105
12,13,4,3,151
12,13,4,4,198
12,13,4,5,259
12,13,4,6,313
12,13,4,7,360
12,13,4,8,414
12,13,4,9,467
12,13,4,10,514
13,14,1,1,9225
13,14,1,2,19868
13,14,1,3,29483
13,14,1,4,39755
13,14,1,5,47531
13,14,1,6,58278
13,14,1,7,64173
13,14,1,8,77303
13,14,1,9,84242
13,14,1,10,95006
13,14,2,1,7213
13,14,2,2,14771
13,14,2,3,20634
13,14,2,4,26283
13,14,2,5,36597
13,14,2,6,43305
13,14,2,7,46496
13,14,2,8,55548
13,14,2,9,61629
13,14,2,10,69755
13,14,3,1,49717
13,14,3,2,100390
13,14,3,3,154556
13,14,3,4,219873
13,14,3,5,289695
13,14,3,6,341084
13,14,3,7,370727
13,14,3,8,460364
13,14,3,9,514190
13,14,3,10,557499
13,14,4,1,7044
13,14,4,2,14305
13,14,4,3,20733
13,14,4,4,29102
13,14,4,5,38626
13,14,4,6,44934
13,14,4,7,50871
13,14,4,8,57104
13,14,4,9,65524
13,14,4,10,73468
14,15,1,1,506
14,15,1,2,1121
14,15,1,3,1734
14,15,1,4,2304
14,15,1,5,2823
14,15,1,6,3242
14,15,1,7,4007
14,15,1,8,4379
14,15,1,9,5056
14,15,1,10,5538
14,15,2,1,254
14,15,2,2,615
14,15,2,3,774
14,15,2,4,1063
14,15,2,5,1493
14,15,2,6,1779
14,15,2,7,1939
14,15,2,8,2192
14,15,2,9,2557
14,15,2,10,2816
14,15,3,1,3617
14,15,3,2,6193
14,15,3,3,9873
14,15,3,4,13700
14,15,3,5,16785
14,15,3,6,19611
14,15,3,7,23185
14,15,3,8,26677
14,15,3,9,30181
14,15,3,10,33346
14,15,4,1,515
14,15,4,2,1104
14,15,4,3,1541
14,15,4,4,1888
14,15,4,5,2545
14,15,4,6,2962
14,15,4,7,3448
14,15,4,8,4062
14,15,4,9,4560
14,15,4,10,4944
15,16,1,1,3185
15,16,1,2,6244
15,16,1,3,9017
15,16,1,4,12347
15,16,1,5,15521
15,16,1,6,17558
15,16,1,7,20739
15,16,1,8,23544
15,16,1,9,26330
15,16,1,10,29922
15,16,2,1,1588
15,16,2,2,3115
15,16,2,3,4579
15,16,2,4,5295
15,16,2,5,7161
15,16,2,6,8468
15,16,2,7,9800
15,16,2,8,11805
15,16,2,9,12825
15,16,2,10,14435
15,16,3,1,13822
15,16,3,2,32279
15,16,3,3,46766
15,16,3,4,66227
15,16,3,5,72271
15,16,3,6,88951
15,16,3,7,107646
15,16,3,8,125372
15,16,3,9,135100
15,16,3,10,153676
15,16,4,1,1751
15,16,4,2,3523
15,16,4,3,4739
15,16,4,4,6473
15,16,4,5,8300
15,16,4,6,9726
15,16,4,7,11096
15,16,4,8,13219
15,16,4,9,15192
15,16,4,10,16530
16,17,1,1,80
16,17,1,2,146
16,17,1,3,293
16,17,1,4,303
16,17,1,5,411
16,17,1,6,499
16,17,1,7,615
16,17,1,8,726
16,17,1,9,757
16,17,1,10,859
16,17,2,1,96
16,17,2,2,202
16,17,2,3,306
16,17,2,4,461
16,17,2,5,613
16,17,2,6,640
16,17,2,7,775
16,17,2,8,936
16,17,2,9,1023
16,17,2,10,1114
16,17,3,1,400
16,17,3,2,840
16,17,3,3,1115
16,17,3,4,1655
16,17,3,5,1869
16,17,3,6,2475
16,17,3,7,2782
16,17,3,8,3218
16,17,3,9,3520
16,17,3,10,3905
16,17,4,1,115
16,17,4,2,191
16,17,4,3,356
16,17,4,4,446
16,17,4,5,516
16,17,4,6,643
16,17,4,7,725
16,17,4,8,858
16,17,4,9,944
16,17,4,10,1083
17,18,1,1,7185
17,18,1,2,13853
17,18,1,3,20221
17,18,1,4,25300
17,18,1,5,32622
17,18,1,6,41536
17,18,1,7,45777
17,18,1,8,53550
17,18,1,9,59581
17,18,1,10,67385
17,18,2,1,5357
17,18,2,2,10223
17,18,2,3,14517
17,18,2,4,20439
17,18,2,5,25966
17,18,2,6,31408
17,18,2,7,35192
17,18,2,8,40811
17,18,2,9,43818
17,18,2,10,49383
17,18,3,1,33208
17,18,3,2,70362
17,18,3,3,95541
17,18,3,4,136728
17,18,3,5,163738
17,18,3,6,204585
17,18,3,7,226584
17,18,3,8,253273
17,18,3,9,287350
17,18,3,10,325639
17,18,4,1,3743
17,18,4,2,8561
17,18,4,3,10658
17,18,4,4,15731
17,18,4,5,19096
17,18,4,6,23145
17,18,4,7,26224
17,18,4,8,31289
17,18,4,9,34191
17,18,4,10,38247
18,19,1,1,787
18,19,1,2,1657
18,19,1,3,2318
18,19,1,4,3058
18,19,1,5,3965
18,19,1,6,4656
18,19,1,7,5685
18,19,1,8,6451
18,19,1,9,7177
18,19,1,10,7893
18,19,2,1,501
18,19,2,2,888
18,19,2,3,1460
18,19,2,4,1711
18,19,2,5,2297
18,19,2,6,2596
18,19,2,7,3157
18,19,2,8,3547
18,19,2,9,4065
18,19,2,10,4481
18,19,3,1,3582
18,19,3,2,7546
18,19,3,3,10925
18,19,3,4,15659
18,19,3,5,17074
18,19,3,6,23173
18,19,3,7,27672
18,19,3,8,31731
18,19,3,9,34388
18,19,3,10,38128
18,19,4,1,408
18,19,4,2,849
18,19,4,3,1253
18,19,4,4,1771
18,19,4,5,2295
18,19,4,6,2511
18,19,4,7,3046
18,19,4,8,3425
18,19,4,9,3946
18,19,4,10,4375
19,20,1,1,242
19,20,1,2,524
19,20,1,3,843
19,20,1,4,1255
19,20,1,5,1371
19,20,1,6,1603
19,20,1,7,1954
19,20,1,8,2345
19,20,1,9,2560
19,20,1,10,2879
19,20,2,1,133
19,20,2,2,271
19,20,2,3,389
19,20,2,4,510
19,20,2,5,636
19,20,2,6,778
19,20,2,7,893
19,20,2,8,1038
19,20,2,9,1190
19,20,2,10,1292
19,20,3,1,1871
19,20,3,2,3041
19,20,3,3,5183
19,20,3,4,6066
19,20,3,5,8117
19,20,3,6,9640
19,20,3,7,12055
19,20,3,8,12950
19,20,3,9,15115
19,20,3,10,16727
19,20,4,1,90
19,20,4,2,214
19,20,4,3,313
19,20,4,4,410
19,20,4,5,495
19,20,4,6,624
19,20,4,7,742
19,20,4,8,793
19,20,4,9,905
19,20,4,10,1000
20,21,1,1,6329
20,21,1,2,13528
20,21,1,3,19244
20,21,1,4,26152
20,21,1,5,33133
20,21,1,6,41725
20,21,1,7,47875
20,21,1,8,53225
20,21,1,9,59889
20,21,1,10,66782
20,21,2,1,4184
20,21,2,2,8358
20,21,2,3,11184
20,21,2,4,16638
20,21,2,5,20072
20,21,2,6,23481
20,21,2,7,28104
20,21,2,8,31715
20,21,2,9,35961
20,21,2,10,39968
20,21,3,1,29077
20,21,3,2,56007
20,21,3,3,91279
20,21,3,4,117334
20,21,3,5,143918
20,21,3,6,161519
20,21,3,7,209209
20,21,3,8,228744
20,21,3,9,261558
20,21,3,10,283804
20,21,4,1,3642
20,21,4,2,6939
20,21,4,3,10404
20,21,4,4,12428
20,21,4,5,17019
20,21,4,6,20093
20,21,4,7,23534
20,21,4,8,27413
20,21,4,9,29877
20,21,4,10,33512
21,22,1,1,13063
21,22,1,2,22191
21,22,1,3,35616
21,22,1,4,49114
21,22,1,5,60589
21,22,1,6,72448
21,22,1,7,87045
21,22,1,8,95691
21,22,1,9,109925
21,22,1,10,120398
21,22,2,1,8410
21,22,2,2,16281
21,22,2,3,26096
21,22,2,4,32937
21,22,2,5,42201
21,22,2,6,49707
21,22,2,7,56954
21,22,2,8,65322
21,22,2,9,74963
21,22,2,10,83907
21,22,3,1,44596
21,22,3,2,81449
21,22,3,3,135113
21,22,3,4,166375
21,22,3,5,232100
21,22,3,6,267908
21,22,3,7,308883
21,22,3,8,359424
21,22,3,9,402972
21,22,3,10,449135
21,22,4,1,7989
21,22,4,2,15031
21,22,4,3,22301
21,22,4,4,32235
21,22,4,5,38234
21,22,4,6,44899
21,22,4,7,51940
21,22,4,8,59887
21,22,4,9,68681
21,22,4,10,76840
22,23,1,1,230
22,23,1,2,465
22,23,1,3,654
22,23,1,4,907
22,23,1,5,1085
22,23,1,6,1317
22,23,1,7,1645
22,23,1,8,1793
22,23,1,9,2075
22,23,1,10,2279
22,23,2,1,161
22,23,2,2,276
22,23,2,3,417
22,23,2,4,563
22,23,2,5,674
22,23,2,6,904
22,23,2,7,1068
22,23,2,8,1223
22,23,2,9,1389
22,23,2,10,1493
22,23,3,1,1134
22,23,3,2,2023
22,23,3,3,3206
22,23,3,4,3907
22,23,3,5,5242
22,23,3,6,5742
22,23,3,7,7104
22,23,3,8,8082
22,23,3,9,8899
22,23,3,10,9950
22,23,4,1,101
22,23,4,2,187
22,23,4,3,270
22,23,4,4,402
22,23,4,5,480
22,23,4,6,585
22,23,4,7,705
22,23,4,8,786
22,23,4,9,856
22,23,4,10,972
23,24,1,1,2175
23,24,1,2,5379
23,24,1,3,8257
23,24,1,4,10756
23,24,1,5,12300
23,24,1,6,14749
23,24,1,7,17316
23,24,1,8,20235
23,24,1,9,22853
23,24,1,10,24642
23,24,2,1,1720
23,24,2,2,3333
23,24,2,3,5031
23,24,2,4,5847
23,24,2,5,8261
23,24,2,6,9515
23,24,2,7,10510
23,24,2,8,12653
23,24,2,9,14322
23,24,2,10,15684
23,24,3,1,18051
23,24,3,2,29030
23,24,3,3,51117
23,24,3,4,69302
23,24,3,5,79313
23,24,3,6,96701
23,24,3,7,121249
23,24,3,8,129557
23,24,3,9,153122
23,24,3,10,168548
23,24,4,1,1676
23,24,4,2,3528
23,24,4,3,4696
23,24,4,4,5872
23,24,4,5,7314
23,24,4,6,8941
23,24,4,7,10789
23,24,4,8,12667
23,24,4,9,14142
23,24,4,10,15678
24,25,1,1,152
24,25,1,2,308
24,25,1,3,477
24,25,1,4,591
24,25,1,5,762
24,25,1,6,949
24,25,1,7,1042
24,25,1,8,1189
24,25,1,9,1404
24,25,1,10,1522
24,25,2,1,122
24,25,2,2,254
24,25,2,3,382
24,25,2,4,542
24,25,2,5,623
24,25,2,6,761
24,25,2,7,937
24,25,2,8,1017
24,25,2,9,1140
24,25,2,10,1294
24,25,3,1,559
24,25,3,2,1144
24,25,3,3,1680
24,25,3,4,2129
24,25,3,5,2962
24,25,3,6,3519
24,25,3,7,3920
24,25,3,8,4579
24,25,3,9,4975
24,25,3,10,5610
24,25,4,1,145
24,25,4,2,285
24,25,4,3,458
24,25,4,4,614
24,25,4,5,765
24,25,4,6,926
24,25,4,7,1096
24,25,4,8,1263
24,25,4,9,1396
24,25,4,10,1579
25,26,1,1,1034
25,26,1,2,2027
25,26,1,3,3033
25,26,1,4,3935
25,26,1,5,5088
25,26,1,6,5955
25,26,1,7,6719
25,26,1,8,7817
25,26,1,9,8880
25,26,1,10,9942
25,26,2,1,876
25,26,2,2,1749
25,26,2,3,2688
25,26,2,4,3246
25,26,2,5,4381
25,26,2,6,5517
25,26,2,7,6105
25,26,2,8,6802
25,26,2,9,7712
25,26,2,10,8632
25,26,3,1,6445
25,26,3,2,11244
25,26,3,3,16105
25,26,3,4,22411
25,26,3,5,27670
25,26,3,6,33955
25,26,3,7,39582
25,26,3,8,43439
25,26,3,9,48908
25,26,3,10,55161
25,26,4,1,635
25,26,4,2,1486
25,26,4,3,1855
25,26,4,4,2610
25,26,4,5,3345
25,26,4,6,3943
25,26,4,7,4468
25,26,4,8,5280
25,26,4,9,6030
25,26,4,10,6732
26,27,1,1,101
26,27,1,2,185
26,27,1,3,279
26,27,1,4,359
26,27,1,5,464
26,27,1,6,552
26,27,1,7,645
26,27,1,8,732
26,27,1,9,825
26,27,1,10,910
26,27,2,1,41
26,27,2,2,78
26,27,2,3,123
26,27,2,4,158
26,27,2,5,198
26,27,2,6,248
26,27,2,7,285
26,27,2,8,329
26,27,2,9,365
26,27,2,10,408
26,27,3,1,476
26,27,3,2,1027
26,27,3,3,1575
26,27,3,4,2096
26,27,3,5,2538
26,27,3,6,2938
26,27,3,7,3624
26,27,3,8,4117
26,27,3,9,4555
26,27,3,10,5127
26,27,4,1,45
26,27,4,2,111
26,27,4,3,178
26,27,4,4,224
26,27,4,5,259
26,27,4,6,333
26,27,4,7,366
26,27,4,8,435
26,27,4,9,489
26,27,4,10,536
27,28,1,1,591
27,28,1,2,926
27,28,1,3,1384
27,28,1,4,2036
27,28,1,5,2344
27,28,1,6,2939
27,28,1,7,3658
27,28,1,8,3943
27,28,1,9,4607
27,28,1,10,5030
27,28,2,1,264
27,28,2,2,498
27,28,2,3,787
27,28,2,4,987
27,28,2,5,1148
27,28,2,6,1586
27,28,2,7,1834
27,28,2,8,1985
27,28,2,9,2236
27,28,2,10,2553
27,28,3,1,1520
27,28,3,2,2798
27,28,3,3,4209
27,28,3,4,5534
27,28,3,5,7470
27,28,3,6,8982
27,28,3,7,11213
27,28,3,8,12187
27,28,3,9,13412
27,28,3,10,15220
27,28,4,1,226
27,28,4,2,406
27,28,4,3,693
27,28,4,4,827
27,28,4,5,1045
27,28,4,6,1230
27,28,4,7,1444
27,28,4,8,1662
27,28,4,9,1800
27,28,4,10,2015
28,29,1,1,10734
28,29,1,2,22715
28,29,1,3,31329
28,29,1,4,43239
28,29,1,5,54340
28,29,1,6,68161
28,29,1,7,76578
28,29,1,8,89459
28,29,1,9,100797
28,29,1,10,111142
28,29,2,1,7956
28,29,2,2,16212
28,29,2,3,25370
28,29,2,4,32859
28,29,2,5,39121
28,29,2,6,46421
28,29,2,7,57083
28,29,2,8,62911
28,29,2,9,71161
28,29,2,10,79907
28,29,3,1,48163
28,29,3,2,95580
28,29,3,3,137369
28,29,3,4,177567
28,29,3,5,221281
28,29,3,6,252260
28,29,3,7,318587
28,29,3,8,341642
28,29,3,9,399045
28,29,3,10,436764
28,29,4,1,8894
28,29,4,2,17731
28,29,4,3,25355
28,29,4,4,35996
28,29,4,5,40756
28,29,4,6,49157
28,29,4,7,61323
28,29,4,8,67307
28,29,4,9,78192
28,29,4,10,85832
29,30,1,1,1308
29,30,1,2,2627
29,30,1,3,4268
29,30,1,4,5608
29,30,1,5,6920
29,30,1,6,8344
29,30,1,7,9582
29,30,1,8,10745
29,30,1,9,12553
29,30,1,10,13716
29,30,2,1,1137
29,30,2,2,2195
29,30,2,3,3874
29,30,2,4,4891
29,30,2,5,5652
29,30,2,6,6826
29,30,2,7,8314
29,30,2,8,9232
29,30,2,9,10393
29,30,2,10,11584
29,30,3,1,8338
29,30,3,2,15266
29,30,3,3,24184
29,30,3,4,30303
29,30,3,5,38512
29,30,3,6,44948
29,30,3,7,54266
29,30,3,8,63538
29,30,3,9,71900
29,30,3,10,77841
29,30,4,1,1190
29,30,4,2,2462
29,30,4,3,3491
29,30,4,4,4545
29,30,4,5,5460
29,30,4,6,6946
29,30,4,7,8114
29,30,4,8,9019
29,30,4,9,10288
29,30,4,10,11355
30,31,1,1,526
30,31,1,2,1273
30,31,1,3,1567
30,31,1,4,2513
30,31,1,5,3063
30,31,1,6,3239
30,31,1,7,4193
30,31,1,8,4463
30,31,1,9,4929
30,31,1,10,5557
30,31,2,1,416
30,31,2,2,824
30,31,2,3,1206
30,31,2,4,1715
30,31,2,5,2069
30,31,2,6,2177
30,31,2,7,2648
30,31,2,8,3141
30,31,2,9,3525
30,31,2,10,3836
30,31,3,1,2210
30,31,3,2,4377
30,31,3,3,5274
30,31,3,4,7400
30,31,3,5,10405
30,31,3,6,12249
30,31,3,7,12628
30,31,3,8,15169
30,31,3,9,17350
30,31,3,10,18997
30,31,4,1,495
30,31,4,2,1171
30,31,4,3,1805
30,31,4,4,2018
30,31,4,5,3063
30,31,4,6,3595
30,31,4,7,3969
30,31,4,8,4582
30,31,4,9,5037
30,31,4,10,5665
31,32,1,1,9561
31,32,1,2,20241
31,32,1,3,29891
31,32,1,4,42191
31,32,1,5,51986
31,32,1,6,61387
31,32,1,7,73707
31,32,1,8,81534
31,32,1,9,93270
31,32,1,10,102018
31,32,2,1,6133
31,32,2,2,12861
31,32,2,3,17876
31,32,2,4,24962
31,32,2,5,28883
31,32,2,6,37377
31,32,2,7,41593
31,32,2,8,47030
31,32,2,9,53351
31,32,2,10,60232
31,32,3,1,74283
31,32,3,2,158954
31,32,3,3,221232
31,32,3,4,280835
31,32,3,5,366928
31,32,3,6,452277
31,32,3,7,517276
31,32,3,8,588138
31,32,3,9,663201
31,32,3,10,730660
31,32,4,1,6394
31,32,4,2,12861
31,32,4,3,19963
31,32,4,4,28541
31,32,4,5,33293
31,32,4,6,40274
31,32,4,7,50316
31,32,4,8,57106
31,32,4,9,64871
31,32,4,10,70498
32,33,1,1,9775
32,33,1,2,18980
32,33,1,3,29271
32,33,1,4,39877
32,33,1,5,49106
