Cluster,Product,Period,Demand
7,3,2,14505.0
7,3,3,13549.0
7,3,4,9370.0
7,3,5,17322.0
7,3,6,12357.0
7,3,7,18889.0
7,3,8,14877.0
7,3,9,8737.0
7,3,10,15320.0
7,4,1,1097.0
7,4,2,649.0
7,4,3,1430.0
7,4,4,1124.0
7,4,5,506.0
7,4,6,1362.0
7,4,7,863.0
7,4,8,778.0
7,4,9,1211.0
7,4,10,848.0
8,1,1,21805.0
8,1,2,25076.0
8,1,3,16520.0
8,1,4,24292.0
8,1,5,20051.0
8,1,6,24203.0
8,1,7,15902.0
8,1,8,26162.0
8,1,9,22133.0
8,1,10,19127.0
8,2,1,19569.0
8,2,2,17276.0
8,2,3,19135.0
8,2,4,21562.0
8,2,5,15896.0
8,2,6,23131.0
8,2,7,21164.0
8,2,8,14595.0
8,2,9,24816.0
8,2,10,17067.0
8,3,1,114872.0
8,3,2,105316.0
8,3,3,139650.0
8,3,4,103391.0
8,3,5,99539.0
8,3,6,141801.0
8,3,7,106425.0
8,3,8,131141.0
8,3,9,91994.0
8,3,10,125705.0
8,4,1,28849.0
8,4,2,28103.0
8,4,3,26006.0
8,4,4,27690.0
8,4,5,23168.0
8,4,6,33341.0
8,4,7,30242.0
8,4,8,29412.0
8,4,9,23563.0
8,4,10,30118.0
9,1,1,375.0
9,1,2,356.0
9,1,3,410.0
9,1,4,357.0
9,1,5,428.0
9,1,6,308.0
9,1,7,319.0
9,1,8,444.0
9,1,9,296.0
9,1,10,381.0
9,2,1,260.0
9,2,2,234.0
9,2,3,217.0
9,2,4,203.0
9,2,5,332.0
9,2,6,243.0
9,2,7,215.0
9,2,8,248.0
9,2,9,236.0
9,2,10,223.0
9,3,1,2042.0
9,3,2,2070.0
9,3,3,2729.0
9,3,4,1933.0
9,3,5,1652.0
9,3,6,2187.0
9,3,7,2509.0
9,3,8,2131.0
9,3,9,1830.0
9,3,10,2405.0
9,4,1,309.0
9,4,2,312.0
9,4,3,194.0
9,4,4,303.0
9,4,5,238.0
9,4,6,424.0
9,4,7,129.0
9,4,8,379.0
9,4,9,242.0
9,4,10,292.0
10,1,1,26135.0
10,1,2,24595.0
10,1,3,32074.0
10,1,4,18253.0
10,1,5,26233.0
10,1,6,27665.0
10,1,7,25722.0
10,1,8,27917.0
10,1,9,23542.0
10,1,10,28259.0
10,2,1,18042.0
10,2,2,17826.0
10,2,3,18024.0
10,2,4,19817.0
10,2,5,13740.0
10,2,6,19154.0
10,2,7,16492.0
10,2,8,20708.0
10,2,9,16176.0
10,2,10,18431.0
10,3,1,133028.0
10,3,2,133640.0
10,3,3,146811.0
10,3,4,166169.0
10,3,5,110112.0
10,3,6,139442.0
10,3,7,154766.0
10,3,8,122003.0
10,3,9,148256.0
10,3,10,132270.0
10,4,1,22060.0
10,4,2,20452.0
10,4,3,20287.0
10,4,4,25681.0
10,4,5,15743.0
10,4,6,21325.0
10,4,7,23553.0
10,4,8,17341.0
10,4,9,23036.0
10,4,10,19971.0
11,1,1,1894.0
11,1,2,2873.0
11,1,3,1354.0
11,1,4,2352.0
11,1,5,1651.0
11,1,6,2672.0
11,1,7,1974.0
11,1,8,2926.0
11,1,9,1453.0
11,1,10,2516.0
11,2,1,1433.0
11,2,2,1680.0
11,2,3,1361.0
11,2,4,2119.0
11,2,5,1947.0
11,2,6,956.0
11,2,7,1850.0
11,2,8,1434.0
11,2,9,1515.0
11,2,10,1926.0
11,3,1,11932.0
11,3,2,7671.0
11,3,3,15731.0
11,3,4,9321.0
11,3,5,15834.0
11,3,6,8195.0
11,3,7,7506.0
11,3,8,16581.0
11,3,9,6198.0
11,3,10,11175.0
11,4,1,880.0
11,4,2,783.0
11,4,3,857.0
11,4,4,545.0
11,4,5,1135.0
11,4,6,1108.0
11,4,7,553.0
11,4,8,808.0
11,4,9,773.0
11,4,10,894.0
12,1,1,196.0
12,1,2,182.0
12,1,3,102.0
12,1,4,252.0
12,1,5,80.0
12,1,6,230.0
12,1,7,236.0
12,1,8,54.0
12,1,9,204.0
12,1,10,202.0
12,2,1,106.0
12,2,2,74.0
12,2,3,100.0
12,2,4,92.0
12,2,5,109.0
12,2,6,115.0
12,2,7,79.0
12,2,8,105.0
12,2,9,70.0
12,2,10,114.0
12,3,1,576.0
12,3,2,585.0
12,3,3,795.0
12,3,4,618.0
12,3,5,1063.0
12,3,6,147.0
12,3,7,1155.0
12,3,8,385.0
12,3,9,884.0
12,3,10,529.0
12,4,1,47.0
12,4,2,58.0
12,4,3,46.0
12,4,4,47.0
12,4,5,61.0
12,4,6,54.0
12,4,7,47.0
12,4,8,54.0
12,4,9,53.0
12,4,10,47.0
13,1,1,9225.0
13,1,2,10643.0
13,1,3,9615.0
13,1,4,10272.0
13,1,5,8034.0
13,1,6,10747.0
13,1,7,5895.0
13,1,8,13130.0
13,1,9,6939.0
13,1,10,10764.0
13,2,1,7213.0
13,2,2,7558.0
13,2,3,5863.0
13,2,4,5649.0
13,2,5,10314.0
13,2,6,6708.0
13,2,7,3204.0
13,2,8,9052.0
13,2,9,6081.0
13,2,10,8126.0
13,3,1,49717.0
13,3,2,50673.0
13,3,3,54166.0
13,3,4,65317.0
13,3,5,69822.0
13,3,6,51389.0
13,3,7,29643.0
13,3,8,89637.0
13,3,9,53826.0
13,3,10,43309.0
13,4,1,7044.0
13,4,2,7261.0
13,4,3,6428.0
13,4,4,8369.0
13,4,5,9524.0
13,4,6,6308.0
13,4,7,5937.0
13,4,8,6233.0
13,4,9,8420.0
13,4,10,7944.0
14,1,1,506.0
14,1,2,615.0
14,1,3,613.0
14,1,4,570.0
14,1,5,519.0
14,1,6,419.0
14,1,7,765.0
14,1,8,372.0
14,1,9,677.0
14,1,10,482.0
14,2,1,254.0
14,2,2,361.0
14,2,3,159.0
14,2,4,289.0
14,2,5,430.0
14,2,6,286.0
14,2,7,160.0
14,2,8,253.0
14,2,9,365.0
14,2,10,259.0
14,3,1,3617.0
14,3,2,2576.0
14,3,3,3680.0
14,3,4,3827.0
14,3,5,3085.0
14,3,6,2826.0
14,3,7,3574.0
14,3,8,3492.0
14,3,9,3504.0
14,3,10,3165.0
14,4,1,515.0
14,4,2,589.0
14,4,3,437.0
14,4,4,347.0
14,4,5,657.0
14,4,6,417.0
14,4,7,486.0
14,4,8,614.0
14,4,9,498.0
14,4,10,384.0
15,1,1,3185.0
15,1,2,3059.0
15,1,3,2773.0
15,1,4,3330.0
15,1,5,3174.0
15,1,6,2037.0
15,1,7,3181.0
15,1,8,2805.0
15,1,9,2786.0
15,1,10,3592.0
15,2,1,1588.0
15,2,2,1527.0
15,2,3,1464.0
15,2,4,716.0
15,2,5,1866.0
15,2,6,1307.0
15,2,7,1333.0
15,2,8,2005.0
15,2,9,1020.0
15,2,10,1610.0
15,3,1,13822.0
15,3,2,18457.0
15,3,3,14487.0
15,3,4,19461.0
15,3,5,6044.0
15,3,6,16680.0
15,3,7,18695.0
15,3,8,17726.0
15,3,9,9728.0
15,3,10,18576.0
15,4,1,1751.0
15,4,2,1772.0
15,4,3,1216.0
15,4,4,1734.0
15,4,5,1827.0
15,4,6,1426.0
15,4,7,1370.0
15,4,8,2123.0
15,4,9,1973.0
15,4,10,1338.0
16,1,1,80.0
16,1,2,66.0
16,1,3,147.0
16,1,4,10.0
16,1,5,108.0
16,1,6,88.0
16,1,7,116.0
16,1,8,111.0
16,1,9,31.0
16,1,10,102.0
16,2,1,96.0
16,2,2,106.0
16,2,3,104.0
16,2,4,155.0
16,2,5,152.0
16,2,6,27.0
16,2,7,135.0
16,2,8,161.0
16,2,9,87.0
16,2,10,91.0
16,3,1,400.0
16,3,2,440.0
16,3,3,275.0
16,3,4,540.0
16,3,5,214.0
16,3,6,606.0
16,3,7,307.0
16,3,8,436.0
16,3,9,302.0
16,3,10,385.0
16,4,1,115.0
16,4,2,76.0
16,4,3,165.0
16,4,4,90.0
16,4,5,70.0
16,4,6,127.0
16,4,7,82.0
16,4,8,133.0
16,4,9,86.0
16,4,10,139.0
17,1,1,7185.0
17,1,2,6668.0
17,1,3,6368.0
17,1,4,5079.0
17,1,5,7322.0
17,1,6,8914.0
17,1,7,4241.0
17,1,8,7773.0
17,1,9,6031.0
17,1,10,7804.0
17,2,1,5357.0
17,2,2,4866.0
17,2,3,4294.0
17,2,4,5922.0
17,2,5,5527.0
17,2,6,5442.0
17,2,7,3784.0
17,2,8,5619.0
17,2,9,3007.0
17,2,10,5565.0
17,3,1,33208.0
17,3,2,37154.0
17,3,3,25179.0
17,3,4,41187.0
17,3,5,27010.0
17,3,6,40847.0
17,3,7,21999.0
17,3,8,26689.0
17,3,9,34077.0
17,3,10,38289.0
17,4,1,3743.0
17,4,2,4818.0
17,4,3,2097.0
17,4,4,5073.0
17,4,5,3365.0
17,4,6,4049.0
17,4,7,3079.0
17,4,8,5065.0
17,4,9,2902.0
17,4,10,4056.0
18,1,1,787.0
18,1,2,870.0
18,1,3,661.0
18,1,4,740.0
18,1,5,907.0
18,1,6,691.0
18,1,7,1029.0
18,1,8,766.0
18,1,9,726.0
18,1,10,716.0
18,2,1,501.0
18,2,2,387.0
18,2,3,572.0
18,2,4,251.0
18,2,5,586.0
18,2,6,299.0
18,2,7,561.0
18,2,8,390.0
18,2,9,518.0
18,2,10,416.0
18,3,1,3582.0
18,3,2,3964.0
18,3,3,3379.0
18,3,4,4734.0
18,3,5,1415.0
18,3,6,6099.0
18,3,7,4499.0
18,3,8,4059.0
18,3,9,2657.0
18,3,10,3740.0
18,4,1,408.0
18,4,2,441.0
18,4,3,404.0
18,4,4,518.0
18,4,5,524.0
18,4,6,216.0
18,4,7,535.0
18,4,8,379.0
18,4,9,521.0
18,4,10,429.0
19,1,1,242.0
19,1,2,282.0
19,1,3,319.0
19,1,4,412.0
19,1,5,116.0
19,1,6,232.0
19,1,7,351.0
19,1,8,391.0
19,1,9,215.0
19,1,10,319.0
19,2,1,133.0
19,2,2,138.0
19,2,3,118.0
19,2,4,121.0
19,2,5,126.0
19,2,6,142.0
19,2,7,115.0
19,2,8,145.0
19,2,9,152.0
19,2,10,102.0
19,3,1,1871.0
19,3,2,1170.0
19,3,3,2142.0
19,3,4,883.0
19,3,5,2051.0
19,3,6,1523.0
19,3,7,2415.0
19,3,8,895.0
19,3,9,2165.0
19,3,10,1612.0
19,4,1,90.0
19,4,2,124.0
19,4,3,99.0
19,4,4,97.0
19,4,5,85.0
19,4,6,129.0
19,4,7,118.0
19,4,8,51.0
19,4,9,112.0
19,4,10,95.0
20,1,1,6329.0
20,1,2,7199.0
20,1,3,5716.0
20,1,4,6908.0
20,1,5,6981.0
20,1,6,8592.0
20,1,7,6150.0
20,1,8,5350.0
20,1,9,6664.0
20,1,10,6893.0
20,2,1,4184.0
20,2,2,4174.0
20,2,3,2826.0
20,2,4,5454.0
20,2,5,3434.0
20,2,6,3409.0
20,2,7,4623.0
20,2,8,3611.0
20,2,9,4246.0
20,2,10,4007.0
20,3,1,29077.0
20,3,2,26930.0
20,3,3,35272.0
20,3,4,26055.0
20,3,5,26584.0
20,3,6,17601.0
20,3,7,47690.0
20,3,8,19535.0
20,3,9,32814.0
20,3,10,22246.0
20,4,1,3642.0
20,4,2,3297.0
20,4,3,3465.0
20,4,4,2024.0
20,4,5,4591.0
20,4,6,3074.0
20,4,7,3441.0
20,4,8,3879.0
20,4,9,2464.0
20,4,10,3635.0
21,1,1,13063.0
21,1,2,9128.0
21,1,3,13425.0
21,1,4,13498.0
21,1,5,11475.0
21,1,6,11859.0
21,1,7,14597.0
21,1,8,8646.0
21,1,9,14234.0
21,1,10,10473.0
21,2,1,8410.0
21,2,2,7871.0
21,2,3,9815.0
21,2,4,6841.0
21,2,5,9264.0
21,2,6,7506.0
21,2,7,7247.0
21,2,8,8368.0
21,2,9,9641.0
21,2,10,8944.0
21,3,1,44596.0
21,3,2,36853.0
21,3,3,53664.0
21,3,4,31262.0
21,3,5,65725.0
21,3,6,35808.0
21,3,7,40975.0
21,3,8,50541.0
21,3,9,43548.0
21,3,10,46163.0
21,4,1,7989.0
21,4,2,7042.0
21,4,3,7270.0
21,4,4,9934.0
21,4,5,5999.0
21,4,6,6665.0
21,4,7,7041.0
21,4,8,7947.0
21,4,9,8794.0
21,4,10,8159.0
22,1,1,230.0
22,1,2,235.0
22,1,3,189.0
22,1,4,253.0
22,1,5,178.0
22,1,6,232.0
22,1,7,328.0
22,1,8,148.0
22,1,9,282.0
22,1,10,204.0
22,2,1,161.0
22,2,2,115.0
22,2,3,141.0
22,2,4,146.0
22,2,5,111.0
22,2,6,230.0
22,2,7,164.0
22,2,8,155.0
22,2,9,166.0
22,2,10,104.0
22,3,1,1134.0
22,3,2,889.0
22,3,3,1183.0
22,3,4,701.0
22,3,5,1335.0
22,3,6,514.0
22,3,7,1362.0
22,3,8,978.0
22,3,9,817.0
22,3,10,1051.0
22,4,1,101.0
22,4,2,86.0
22,4,3,83.0
22,4,4,132.0
22,4,5,78.0
22,4,6,105.0
22,4,7,120.0
22,4,8,81.0
22,4,9,70.0
22,4,10,116.0
23,1,1,2175.0
23,1,2,3204.0
23,1,3,2878.0
23,1,4,2499.0
23,1,5,1554.0
23,1,6,2449.0
23,1,7,2567.0
23,1,8,2919.0
23,1,9,2618.0
23,1,10,1789.0
23,2,1,1720.0
23,2,2,1613.0
23,2,3,1698.0
23,2,4,816.0
23,2,5,2414.0
23,2,6,1254.0
23,2,7,995.0
23,2,8,2143.0
23,2,9,1669.0
23,2,10,1362.0
23,3,1,18051.0
23,3,2,10979.0
23,3,3,22087.0
23,3,4,18185.0
23,3,5,10011.0
23,3,6,17388.0
23,3,7,24548.0
23,3,8,8308.0
23,3,9,23565.0
23,3,10,15426.0
23,4,1,1676.0
23,4,2,1852.0
23,4,3,1168.0
23,4,4,1176.0
23,4,5,1442.0
23,4,6,1627.0
23,4,7,1848.0
23,4,8,1878.0
23,4,9,1475.0
23,4,10,1536.0
24,1,1,152.0
24,1,2,156.0
24,1,3,169.0
24,1,4,114.0
24,1,5,171.0
24,1,6,187.0
24,1,7,93.0
24,1,8,147.0
24,1,9,215.0
24,1,10,118.0
24,2,1,122.0
24,2,2,132.0
24,2,3,128.0
24,2,4,160.0
24,2,5,81.0
24,2,6,138.0
24,2,7,176.0
24,2,8,80.0
24,2,9,123.0
24,2,10,154.0
24,3,1,559.0
24,3,2,585.0
24,3,3,536.0
24,3,4,449.0
24,3,5,833.0
24,3,6,557.0
24,3,7,401.0
24,3,8,659.0
24,3,9,396.0
24,3,10,635.0
24,4,1,145.0
24,4,2,140.0
24,4,3,173.0
24,4,4,156.0
24,4,5,151.0
24,4,6,161.0
24,4,7,170.0
24,4,8,167.0
24,4,9,133.0
24,4,10,183.0
25,1,1,1034.0
25,1,2,993.0
25,1,3,1006.0
25,1,4,902.0
25,1,5,1153.0
25,1,6,867.0
25,1,7,764.0
25,1,8,1098.0
25,1,9,1063.0
25,1,10,1062.0
25,2,1,876.0
25,2,2,873.0
25,2,3,939.0
25,2,4,558.0
25,2,5,1135.0
25,2,6,1136.0
25,2,7,588.0
25,2,8,697.0
25,2,9,910.0
25,2,10,920.0
25,3,1,6445.0
25,3,2,4799.0
25,3,3,4861.0
25,3,4,6306.0
25,3,5,5259.0
25,3,6,6285.0
25,3,7,5627.0
25,3,8,3857.0
25,3,9,5469.0
25,3,10,6253.0
25,4,1,635.0
25,4,2,851.0
25,4,3,369.0
25,4,4,755.0
25,4,5,735.0
25,4,6,598.0
25,4,7,525.0
25,4,8,812.0
25,4,9,750.0
25,4,10,702.0
26,1,1,101.0
26,1,2,84.0
26,1,3,94.0
26,1,4,80.0
26,1,5,105.0
26,1,6,88.0
26,1,7,93.0
26,1,8,87.0
26,1,9,93.0
26,1,10,85.0
26,2,1,41.0
26,2,2,37.0
26,2,3,45.0
26,2,4,35.0
26,2,5,40.0
26,2,6,50.0
26,2,7,37.0
26,2,8,44.0
26,2,9,36.0
26,2,10,43.0
26,3,1,476.0
26,3,2,551.0
26,3,3,548.0
26,3,4,521.0
26,3,5,442.0
26,3,6,400.0
26,3,7,686.0
26,3,8,493.0
26,3,9,438.0
26,3,10,572.0
26,4,1,45.0
26,4,2,66.0
26,4,3,67.0
26,4,4,46.0
26,4,5,35.0
26,4,6,74.0
26,4,7,33.0
26,4,8,69.0
26,4,9,54.0
26,4,10,47.0
27,1,1,591.0
27,1,2,335.0
27,1,3,458.0
27,1,4,652.0
27,1,5,308.0
27,1,6,595.0
27,1,7,719.0
27,1,8,285.0
27,1,9,664.0
27,1,10,423.0
27,2,1,264.0
27,2,2,234.0
27,2,3,289.0
27,2,4,200.0
27,2,5,161.0
27,2,6,438.0
27,2,7,248.0
27,2,8,151.0
27,2,9,251.0
27,2,10,317.0
27,3,1,1520.0
27,3,2,1278.0
27,3,3,1411.0
27,3,4,1325.0
27,3,5,1936.0
27,3,6,1512.0
27,3,7,2231.0
27,3,8,974.0
27,3,9,1225.0
27,3,10,1808.0
27,4,1,226.0
27,4,2,180.0
27,4,3,287.0
27,4,4,134.0
27,4,5,218.0
27,4,6,185.0
27,4,7,214.0
27,4,8,218.0
27,4,9,138.0
27,4,10,215.0
28,1,1,10734.0
28,1,2,11981.0
28,1,3,8614.0
28,1,4,11910.0
28,1,5,11101.0
28,1,6,13821.0
28,1,7,8417.0
28,1,8,12881.0
28,1,9,11338.0
28,1,10,10345.0
28,2,1,7956.0
28,2,2,8256.0
28,2,3,9158.0
28,2,4,7489.0
28,2,5,6262.0
28,2,6,7300.0
28,2,7,10662.0
28,2,8,5828.0
28,2,9,8250.0
28,2,10,8746.0
28,3,1,48163.0
28,3,2,47417.0
28,3,3,41789.0
28,3,4,40198.0
28,3,5,43714.0
28,3,6,30979.0
28,3,7,66327.0
28,3,8,23055.0
28,3,9,57403.0
28,3,10,37719.0
28,4,1,8894.0
28,4,2,8837.0
28,4,3,7624.0
28,4,4,10641.0
28,4,5,4776.0
28,4,6,8401.0
28,4,7,12166.0
28,4,8,5984.0
28,4,9,10885.0
28,4,10,7640.0
29,1,1,1308.0
29,1,2,1319.0
29,1,3,1641.0
29,1,4,1340.0
29,1,5,1312.0
29,1,6,1424.0
29,1,7,1238.0
29,1,8,1163.0
29,1,9,1808.0
29,1,10,1163.0
29,2,1,1137.0
29,2,2,1058.0
29,2,3,1679.0
29,2,4,1017.0
29,2,5,761.0
29,2,6,1179.0
29,2,7,1488.0
29,2,8,918.0
29,2,9,1161.0
29,2,10,1191.0
29,3,1,8338.0
29,3,2,6928.0
29,3,3,8918.0
29,3,4,6119.0
29,3,5,8209.0
29,3,6,6436.0
29,3,7,9318.0
29,3,8,9272.0
29,3,9,8362.0
29,3,10,5941.0
29,4,1,1190.0
29,4,2,1272.0
29,4,3,1029.0
29,4,4,1054.0
29,4,5,915.0
29,4,6,1486.0
29,4,7,1168.0
29,4,8,905.0
29,4,9,1269.0
29,4,10,1067.0
30,1,1,526.0
30,1,2,747.0
30,1,3,294.0
30,1,4,946.0
30,1,5,550.0
30,1,6,176.0
30,1,7,954.0
30,1,8,270.0
30,1,9,466.0
30,1,10,628.0
30,2,1,416.0
30,2,2,408.0
30,2,3,382.0
30,2,4,509.0
30,2,5,354.0
30,2,6,108.0
30,2,7,471.0
30,2,8,493.0
30,2,9,384.0
30,2,10,311.0
30,3,1,2210.0
30,3,2,2167.0
30,3,3,897.0
30,3,4,2126.0
30,3,5,3005.0
30,3,6,1844.0
30,3,7,379.0
30,3,8,2541.0
30,3,9,2181.0
30,3,10,1647.0
30,4,1,495.0
30,4,2,676.0
30,4,3,634.0
30,4,4,213.0
30,4,5,1045.0
30,4,6,532.0
30,4,7,374.0
30,4,8,613.0
30,4,9,455.0
30,4,10,628.0
31,1,1,9561.0
31,1,2,10680.0
31,1,3,9650.0
31,1,4,12300.0
31,1,5,9795.0
31,1,6,9401.0
31,1,7,12320.0
31,1,8,7827.0
31,1,9,11736.0
31,1,10,8748.0
31,2,1,6133.0
31,2,2,6728.0
31,2,3,5015.0
31,2,4,7086.0
31,2,5,3921.0
31,2,6,8494.0
31,2,7,4216.0
31,2,8,5437.0
31,2,9,6321.0
31,2,10,6881.0
31,3,1,74283.0
31,3,2,84671.0
31,3,3,62278.0
31,3,4,59603.0
31,3,5,86093.0
31,3,6,85349.0
31,3,7,64999.0
31,3,8,70862.0
31,3,9,75063.0
31,3,10,67459.0
31,4,1,6394.0
31,4,2,6467.0
31,4,3,7102.0
31,4,4,8578.0
31,4,5,4752.0
31,4,6,6981.0
31,4,7,10042.0
31,4,8,6790.0
31,4,9,7765.0
31,4,10,5627.0
32,1,1,9775.0
32,1,2,9205.0
32,1,3,10291.0
32,1,4,10606.0
32,1,5,9306.0
32,1,6,8895.0
32,1,7,9045.0
32,1,8,8010.0
32,1,9,11508.0
32,1,10,8600.0
32,2,1,7237.0
32,2,2,7962.0
32,2,3,7389.0
32,2,4,4657.0
32,2,5,9815.0
32,2,6,6664.0
32,2,7,8416.0
32,2,8,7811.0
32,2,9,7334.0
32,2,10,7874.0
32,3,1,50981.0
32,3,2,47484.0
32,3,3,43161.0
32,3,4,52219.0
32,3,5,59477.0
32,3,6,39499.0
32,3,7,50172.0
32,3,8,56032.0
32,3,9,47271.0
32,3,10,49613.0
32,4,1,9108.0
32,4,2,8042.0
32,4,3,7343.0
32,4,4,11977.0
